title,text,url
第1条の2《定義》関係｜国税庁(「扶養義務者」の意義),1の2-1 相続税法(昭和25年法律第73号。以下「法」という。)第1条の2第1号に規定する「扶養義務者」とは、配偶者並びに民法(明治29年法律第89号)第877条((扶養義務者))の規定による直系血族及び兄弟姉妹並びに家庭裁判所の審判を受けて扶養義務者となった三親等内の親族をいうのであるが、これらの者のほか三親等内の親族で生計を一にする者については、家庭裁判所の審判がない場合であってもこれに該当するものとして取り扱うものとする。 なお、上記扶養義務者に該当するかどうかの判定は、相続税にあっては相続開始の時、贈与税にあっては贈与の時の状況によることに留意する。(平15課資2-1追加、平17課資2-4改正),https://www.nta.go.jp/law/tsutatsu/kihon/sisan/sozoku2/01/00.htm
第1条の3《相続税の納税義務者》及び第1条の4《贈与税の納税義務者》共通関係｜国税庁(「個人」の意義),1の3・1の4共−1法に規定する「個人」とは、自然人をいうものとする。(平15課資2−1改正),https://www.nta.go.jp/law/tsutatsu/kihon/sisan/sozoku2/01/01.htm
第1条の3《相続税の納税義務者》及び第1条の4《贈与税の納税義務者》共通関係｜国税庁（個人とみなされるもの）,1の3・1の4共−2相続税又は贈与税の納税義務者は、相続若しくは遺贈（贈与をした者の死亡により効力を生ずべき贈与（以下「死因贈与」という。）を含む。以下同じ。）又は贈与（死因贈与を除く。以下同じ。）によって財産を取得した個人を原則とするが、次に掲げる場合においては、それぞれ次に掲げるものは法第9条の4第3項、第66条又は第66条の2の規定により個人とみなされて相続税又は贈与税の納税義務者となることに留意する。（昭42直審(資)5、昭57直資2−177、平15課資2−1、平19課資2−5、課審6−3、平30課資2−9改正）,https://www.nta.go.jp/law/tsutatsu/kihon/sisan/sozoku2/01/01.htm
第1条の3《相続税の納税義務者》及び第1条の4《贈与税の納税義務者》共通関係｜国税庁（納税義務の範囲）,1の3・1の4共−3法第1条の3第1項各号又は第1条の4第1項各号に掲げる者の相続税又は贈与税の納税義務の範囲は、それぞれ次のとおりであるから留意する。（平15課資2−1、平25課資2−10、平27課資2−9、平29課資2−14、平30課資2−9、令元課資2−10改正）,https://www.nta.go.jp/law/tsutatsu/kihon/sisan/sozoku2/01/01.htm
第1条の3《相続税の納税義務者》及び第1条の4《贈与税の納税義務者》共通関係｜国税庁(居住無制限納税義務者の判定),1の3・1の4共−4（削除）（平29課資2−14）,https://www.nta.go.jp/law/tsutatsu/kihon/sisan/sozoku2/01/01.htm
第1条の3《相続税の納税義務者》及び第1条の4《贈与税の納税義務者》共通関係｜国税庁(「住所」の意義),1の3・1の4共−5法に規定する「住所」とは、各人の生活の本拠をいうのであるが、その生活の本拠であるかどうかは、客観的事実によって判定するものとする。この場合において、同一人について同時に法施行地に2箇所以上の住所はないものとする。(平15課資2−1改正),https://www.nta.go.jp/law/tsutatsu/kihon/sisan/sozoku2/01/01.htm
第1条の3《相続税の納税義務者》及び第1条の4《贈与税の納税義務者》共通関係｜国税庁(国外勤務者等の住所の判定),1の3・1の4共−6日本の国籍を有している者又は出入国管理及び難民認定法(昭和26年政令第319号)別表第二に掲げる永住者については、その者が相続若しくは遺贈又は贈与により財産を取得した時において法施行地を離れている場合であっても、その者が次に掲げる者に該当する場合(1の3・1の4共−5によりその者の住所が明らかに法施行地外にあると認められる場合を除く。)は、その者の住所は、法施行地にあるものとして取り扱うものとする。(昭57直資2−177追加、平2直資2−136、平15課資2−1改正),https://www.nta.go.jp/law/tsutatsu/kihon/sisan/sozoku2/01/01.htm
第1条の3《相続税の納税義務者》及び第1条の4《贈与税の納税義務者》共通関係｜国税庁(日本国籍と外国国籍とを併有する者がいる場合),1の3・1の4共−7法第1条の3第1項第2号イ又は第1条の4第1項第2号イに規定する「日本国籍を有する個人」には、日本国籍と外国国籍とを併有する重国籍者も含まれるのであるから留意する。(平15課資2−1追加、平25課資2−10、平27課資2−9改正),https://www.nta.go.jp/law/tsutatsu/kihon/sisan/sozoku2/01/01.htm
第1条の3《相続税の納税義務者》及び第1条の4《贈与税の納税義務者》共通関係｜国税庁(財産取得の時期の原則),1の3・1の4共−8相続若しくは遺贈又は贈与による財産取得の時期は、次に掲げる場合の区分に応じ、それぞれ次によるものとする。(昭38直審(資)4、昭57直資2−177、平15課資2−1、平17課資2−4改正),https://www.nta.go.jp/law/tsutatsu/kihon/sisan/sozoku2/01/01.htm
第1条の3《相続税の納税義務者》及び第1条の4《贈与税の納税義務者》共通関係｜国税庁(停止条件付の遺贈又は贈与による財産取得の時期),1の3・1の4共−9次に掲げる停止条件付の遺贈又は贈与による財産取得の時期は、1の3・1の4共−8にかかわらず、次に掲げる場合の区分に応じ、それぞれ次によるものとする。(昭57直資2−177改正、平15課資2−1改正),https://www.nta.go.jp/law/tsutatsu/kihon/sisan/sozoku2/01/01.htm
